job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
Cognizant Hiring For SAP RAR with SD,Cognizant,3.9,31515 Reviews,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",JD. . . . a) The consultant should be familiar with RAR concepts and its FI posting log...,"SAP RAR
sap
saps
sap sd
sd
hiring
fico
sap fico",15 Days Ago,
Cognizant Hiring For SAP IS Billing Technical,Cognizant,3.9,31515 Reviews,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Greeting!!PFB Attached JDAvailable Date:Available Time:Full nameMobile number: Gender: ...,"ISU billing Technical
billing
sap isu
abap
technical
sap
isu
sap is",15 Days Ago,
Opportunity For Project Management Advisor - NTT DATA,NTT DATA Business Solutions Private Limited,4,4571 Reviews,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Position: Full time employment . . Salary: Best in the market. . . Certified Project Ma...,"ITIL Certified
PMO
Project Management
PMO Lead
PMO Management
data
management
leadership",15 Days Ago,
Statutory Audit- Manager/Associate Manager,KPMG India,3.8,4148 Reviews,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Preferred Location is Have strong analytical skills and good verbal and written communi...,"statutory audit
accounting standards
stat
auditing
ind as
indian
management
client management",15 Days Ago,
HRMS Implementation Consultant/ Sr Consultant,EY,3.7,6948 Reviews,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Ability to link technical solutions with business strategyExecuted project on HR system...,"HRMS implementation
hrms
consulting
system implementation
sr
system",15 Days Ago,
Manager- PMO (Global Compliance & Mobility-TAX),KPMG India,3.8,4148 Reviews,11-16 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru",Female Candidates PreferredShould have good interpersonal skills Should be capable of m...,"big 4
project management office
mobility
program
global program management
tax compliance
taxation
reporting",14 Days Ago,
Proposal Manager,Broadridge,4,785 Reviews,5-6 Yrs,10-12 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru","Excellent communications skills, both written and verbal (IS A MUST) Project management...","bid management
proposal management
Presales
rfq
proposals
bidding
rfi
rfp",13 Days Ago,
SME/ Health Care Trainer,Cognizant,3.9,31515 Reviews,4-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Developing new training module to achieve the required skill set within time frame,"AR medical Billing
Medical Billing
training
billing
medical
healthcare
augmented reality
health",13 Days Ago,
Hiring - Sales Manager-Acquisition - Bangalore & Hyderabad,Indusind Bank,3.8,7052 Reviews,5-10 Yrs,6-7.5 Lacs PA,"Visakhapatnam, Hyderabad/Secunderabad, Bangalore/Bengaluru",Candidates who are interested in Outbound Sales (Field sales) should only apply,"Team Management
Sales Management
field sales
field
hiring
sales
branch sales
team",3 Days Ago,
Senior Independent Testing Specialist,Wells Fargo,4.2,3779 Reviews,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Required Qualifications, US: . . 7+ years of Independent Testing experience, or equival...","Independent Testing
management
risk
monitoring
software testing
senior
risk management",21 Days Ago,
Content Writer,Broadridge,4,785 Reviews,1-3 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru",Work with Good Data and analytics for efficient data aggregation from social channels R...,"content writer
writing
content
content writing
development
content development",14 Days Ago,
Service Desk - excellent communication,Trigent Software,3.7,299 Reviews,1-3 Yrs,2-6 Lacs PA,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Rotational shiftsFlexibility to work in rotational shifts and week offsAdvanced trouble...,"IT Helpdesk
IT Service Desk
Service desk
Technical Helpdesk
Active Directory
technical
directory
international voice process",6 Days Ago,
Lead Cabin Attendant,Agile Airport Services,4,69 Reviews,0-1 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Female Indian nationals, with Indian Passport, minimum 21 years of age. Competency card...",cabin,30+ Days Ago,
Cabin Crew Airbus,Agile Airport Services,4,69 Reviews,0-3 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Female Indian nationals, with Indian Passport, between 18 to 27 years of ageHeight and ...","servicing
customer service
catering
service level
standard operating procedures
cabin crew activities
operating
monitoring",30+ Days Ago,
Cargo - Officer/Executive - South,Agile Airport Services,4,69 Reviews,0-4 Yrs,Not disclosed,"Tiruchirapalli/Trichy, Madurai, Visakhapatnam, Hyderabad/Secunderabad, Calicut/Kozhikode, Chennai, Coimbatore, Bangalore/Bengaluru","Desired Skills: . . Good Communication Skills, Customer Service Aptitude, and Open to w...","customer service
catering
recruitment
ground handling
planning
aviation
operations
cargo operations",30+ Days Ago,
Member Technical,Broadridge,4,785 Reviews,0-2 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Role and responsibilities include: First respondent to any security incident Take end t...,"dns
management
incident
science
iso
troubleshooting
networking
linux",30+ Days Ago,
Member Techincal,Broadridge,4,785 Reviews,0-2 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Desired Profile: . . Graduate or Post Graduate Degree from a reputed institute . . Prim...,"test planning
test cases
sdlc
analytical
analytics
printing
analytical skill
test execution",30+ Days Ago,
"Opening For ABAP Developer@Nttdata, Bangalore",NTT DATA Business Solutions Private Limited,4,4571 Reviews,8-13 Yrs,Not disclosed,Hyderabad/Secunderabad,Experience: 9 to 15 YearsLocation : Hyderabad (Work from Office)Notice Period : Immedia...,"SAP ABAP
HANA
oo abap
abap
saps
sap
sap s hana
sap hana",9 Days Ago,
Cabin Crew Airbus,Agile Airport Services,4,69 Reviews,0-4 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Female Indian nationals, with Indian Passport, between 18 to 27 years of ageHeight and ...","cabin crew activities
standard operating procedures
servicing
monitoring
procedures
operating
cabin
catering",30+ Days Ago,
Systems quality assurance associate,Wells Fargo,4.2,3779 Reviews,0-2 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Perform routine and basic analysis, testing and certification of softwareRequired Quali...","software testing
quality management
quality
remediation
management
regression
case
system",30+ Days Ago,
Senior Member Technical,Broadridge,4,785 Reviews,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","0-5 years of experience in Mainframe Technology (COBOL, JCL, VSAM, DB2 CICS) Experience...","management
dbms
jcl
technology management
vsam
financial services
technology
finance",30+ Days Ago,
Advisory - Deals - CMAAS - Associate 2,PwC,3.7,4513 Reviews,0-1 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",Work in a team interpreting data and analysing / reviewing results along with transform...,"financial analysis
financial reporting
acquisition
analysis
diligence
microsoft
reporting
analytics",30+ Days Ago,
JUNIOR PHARMACIST,Aditya Pharmacy,1.9,2 Reviews,0-2 Yrs,Not disclosed,"Vijayawada, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Retail pharmacists must work to,"health
healthcare
dispensing
medicine
pharmacy
Pharmacist",30+ Days Ago,
Therapy Business Manager Neurolife,Abbott,4.2,2240 Reviews,0-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Collect, compile, verify, and analyze financial, competitive, sales, marketing, and oth...","operations
management
salesforce
marketing
packaging
pharmaceutical
finance
market research",2 Days Ago,
